                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48865,                 1.9018,                 1.1145,                 0.8713,                0.69664,                0.72611,                0.66348,                0.37901,                0.63016,                 1.0016,              0.0033323,              0.0033323,              0.0033323
                      2,                  0.489,                0.86788,                 1.0849,                0.86948,                0.68875,                0.75822,                0.68875,                0.39075,                0.46551,                 1.0376,              0.0065997,              0.0065997,              0.0065997
                      3,                 0.5108,                0.64359,                 1.0945,                0.81154,                0.71198,                0.76693,                 0.6995,                0.39325,                 0.4561,                 1.0144,               0.009801,               0.009801,               0.009801
                      4,                0.49784,                0.54516,                 1.0883,                0.92057,                0.78036,                0.91298,                 0.8481,                0.35823,                0.31864,                 0.9781,               0.009703,               0.009703,               0.009703
                      5,                0.47053,                0.46803,                 1.0723,                0.93516,                0.78733,                0.88687,                0.82574,                0.35311,                0.30508,                0.97171,               0.009703,               0.009703,               0.009703
                      6,                0.45285,                0.42896,                 1.0619,                0.92977,                0.83964,                0.94583,                0.87864,                0.33995,                0.28701,                0.95591,               0.009604,               0.009604,               0.009604
                      7,                0.44276,                0.40706,                 1.0564,                0.84414,                0.92115,                0.94383,                0.88729,                0.34139,                0.27628,                0.95983,               0.009505,               0.009505,               0.009505
                      8,                0.43471,                0.39207,                  1.053,                0.87143,                0.93522,                0.94652,                0.89418,                0.32723,                0.26034,                0.94881,               0.009406,               0.009406,               0.009406
                      9,                0.42821,                0.37791,                 1.0476,                0.88353,                0.92466,                0.95416,                0.90655,                0.31875,                0.24775,                0.93883,               0.009307,               0.009307,               0.009307
                     10,                0.42234,                0.36886,                 1.0448,                0.90243,                0.91667,                0.95247,                0.90463,                0.31357,                0.25029,                 0.9312,               0.009208,               0.009208,               0.009208
                     11,                0.41933,                0.36475,                 1.0423,                0.91474,                0.90903,                0.95598,                 0.9028,                0.31274,                0.24158,                0.93276,               0.009109,               0.009109,               0.009109
                     12,                0.41576,                0.35811,                 1.0418,                0.88946,                 0.9295,                0.95497,                0.90714,                0.31317,                0.23975,                0.93436,                0.00901,                0.00901,                0.00901
                     13,                0.41125,                0.35368,                 1.0364,                0.90288,                0.93301,                0.95661,                0.90826,                0.30988,                0.23534,                0.93103,               0.008911,               0.008911,               0.008911
                     14,                0.40874,                0.34868,                  1.036,                0.91205,                 0.9326,                0.95626,                0.91064,                0.30644,                  0.231,                0.92719,               0.008812,               0.008812,               0.008812
                     15,                0.40701,                0.34343,                 1.0348,                 0.9309,                0.91529,                0.95751,                0.91056,                0.30577,                0.22949,                0.92607,               0.008713,               0.008713,               0.008713
                     16,                0.40303,                0.33692,                 1.0329,                0.91914,                0.92841,                0.95883,                0.91252,                0.30535,                0.22835,                0.92558,               0.008614,               0.008614,               0.008614
                     17,                0.39977,                0.33456,                 1.0317,                 0.9307,                0.93573,                0.95935,                0.91243,                 0.3045,                0.22753,                0.92414,               0.008515,               0.008515,               0.008515
                     18,                0.39979,                0.33199,                 1.0296,                0.93393,                0.92969,                 0.9592,                0.91206,                0.30344,                0.22682,                0.92268,               0.008416,               0.008416,               0.008416
                     19,                0.40096,                 0.3294,                 1.0297,                0.92794,                0.93438,                0.95961,                0.91302,                0.30267,                0.22579,                0.92217,               0.008317,               0.008317,               0.008317
                     20,                0.39846,                0.32885,                 1.0286,                0.92951,                 0.9314,                0.95952,                0.91336,                0.30226,                0.22471,                0.92147,               0.008218,               0.008218,               0.008218
                     21,                 0.3961,                 0.3251,                 1.0277,                0.92983,                0.93095,                0.95914,                0.91245,                0.30137,                0.22387,                0.92038,               0.008119,               0.008119,               0.008119
                     22,                0.39293,                0.32072,                 1.0259,                0.92974,                0.93182,                 0.9594,                0.91364,                0.30117,                0.22314,                0.92005,                0.00802,                0.00802,                0.00802
                     23,                0.39279,                0.32039,                  1.026,                 0.9325,                0.92917,                 0.9601,                0.91407,                0.30082,                0.22234,                0.91964,               0.007921,               0.007921,               0.007921
                     24,                0.39248,                0.32031,                 1.0263,                0.93232,                0.92659,                0.95987,                0.91433,                0.30064,                0.22241,                0.91881,               0.007822,               0.007822,               0.007822
                     25,                0.39117,                0.31807,                 1.0249,                0.93511,                0.92443,                0.95992,                 0.9145,                0.30045,                0.22257,                0.91855,               0.007723,               0.007723,               0.007723
                     26,                0.38949,                0.31455,                 1.0239,                0.93648,                0.92431,                0.95986,                0.91489,                0.30003,                0.22154,                0.91795,               0.007624,               0.007624,               0.007624
                     27,                 0.3881,                0.31029,                  1.023,                0.93641,                0.92407,                0.96017,                0.91524,                0.29949,                0.22084,                0.91736,               0.007525,               0.007525,               0.007525
                     28,                0.38684,                0.31261,                 1.0227,                0.93319,                0.92598,                0.95976,                0.91499,                0.29922,                0.22038,                0.91701,               0.007426,               0.007426,               0.007426
                     29,                0.38545,                0.31021,                 1.0222,                0.93364,                0.92637,                 0.9601,                0.91489,                 0.2988,                0.22003,                0.91646,               0.007327,               0.007327,               0.007327
                     30,                0.38561,                0.31088,                 1.0206,                0.93486,                0.92424,                0.95981,                0.91531,                0.29841,                0.21963,                0.91592,               0.007228,               0.007228,               0.007228
                     31,                0.38614,                0.31043,                 1.0232,                0.93523,                0.92566,                0.95956,                0.91539,                0.29774,                0.21892,                0.91519,               0.007129,               0.007129,               0.007129
                     32,                0.38449,                0.30971,                 1.0206,                0.93516,                 0.9256,                0.95916,                 0.9147,                0.29724,                 0.2178,                0.91432,                0.00703,                0.00703,                0.00703
                     33,                0.38398,                0.30738,                  1.021,                0.93359,                0.92674,                0.95942,                0.91619,                0.29675,                0.21743,                0.91356,               0.006931,               0.006931,               0.006931
                     34,                0.38278,                0.30664,                 1.0198,                0.93167,                0.92716,                0.95995,                 0.9166,                0.29642,                0.21694,                0.91325,               0.006832,               0.006832,               0.006832
                     35,                0.38002,                0.30377,                  1.018,                0.93336,                0.92596,                0.96007,                0.91697,                0.29601,                0.21628,                0.91291,               0.006733,               0.006733,               0.006733
                     36,                0.38069,                0.30349,                  1.019,                0.93246,                0.92638,                0.95933,                 0.9163,                0.29548,                0.21608,                0.91244,               0.006634,               0.006634,               0.006634
                     37,                 0.3797,                0.30034,                 1.0191,                0.93219,                0.92653,                 0.9596,                0.91637,                0.29532,                 0.2156,                0.91217,               0.006535,               0.006535,               0.006535
                     38,                0.37926,                  0.301,                 1.0174,                0.93102,                0.92716,                0.96011,                0.91726,                0.29511,                0.21544,                  0.912,               0.006436,               0.006436,               0.006436
                     39,                0.37834,                0.30009,                 1.0173,                0.92996,                0.92716,                0.96031,                0.91762,                0.29475,                0.21527,                0.91144,               0.006337,               0.006337,               0.006337
                     40,                0.37831,                0.30099,                 1.0177,                0.92901,                0.92874,                0.96068,                0.91822,                0.29422,                0.21494,                0.91069,               0.006238,               0.006238,               0.006238
                     41,                0.37892,                0.30136,                  1.018,                0.93027,                0.92762,                0.96036,                0.91798,                0.29413,                0.21465,                0.91031,               0.006139,               0.006139,               0.006139
                     42,                0.37869,                0.29986,                  1.017,                0.93075,                0.92829,                0.96039,                 0.9179,                0.29372,                0.21491,                0.90978,                0.00604,                0.00604,                0.00604
                     43,                0.37551,                 0.2972,                 1.0161,                0.92994,                0.93081,                 0.9602,                0.91792,                0.29349,                0.21459,                0.90937,               0.005941,               0.005941,               0.005941
                     44,                0.37655,                0.29569,                 1.0171,                0.93038,                0.93064,                0.96041,                0.91826,                0.29351,                0.21441,                0.90934,               0.005842,               0.005842,               0.005842
                     45,                0.37424,                0.29345,                 1.0166,                0.93228,                0.92975,                0.96074,                0.91857,                0.29317,                0.21401,                0.90901,               0.005743,               0.005743,               0.005743
                     46,                0.37475,                0.29425,                 1.0153,                0.93248,                0.92941,                0.96039,                0.91851,                0.29312,                0.21404,                0.90888,               0.005644,               0.005644,               0.005644
                     47,                0.37271,                0.29188,                 1.0151,                0.93214,                0.92995,                0.96058,                0.91885,                0.29273,                0.21392,                0.90827,               0.005545,               0.005545,               0.005545
                     48,                0.37234,                 0.2901,                 1.0144,                 0.9315,                0.93033,                0.96065,                0.91918,                0.29209,                0.21326,                0.90757,               0.005446,               0.005446,               0.005446
